:START_ID,:TYPE,:END_ID,reference_uri,reference_supporting_text,reference_date,property_label,property_description:IGNORE,property_uri
HGNC:15630,RO:0002434,HGNC:11473,https://www.ncbi.nlm.nih.gov/pubmed/9315662,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:938,RO:0002434,HGNC:8607,"https://www.ncbi.nlm.nih.gov/pubmed/24244333,25959826",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:8979,RO:0002434,HGNC:3236,"https://www.ncbi.nlm.nih.gov/pubmed/21701776,25187647,19531499,31959764,7531698,25241761,22973453,7499252,16230374,16273093,25754235,8662998",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:15577,RO:0002434,HGNC:12692,https://www.ncbi.nlm.nih.gov/pubmed/28514442,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12468,RO:0002434,HGNC:6400,https://www.ncbi.nlm.nih.gov/pubmed/16196087,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12468,RO:0002434,HGNC:2239,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:18412,RO:0002434,HGNC:18417,https://www.ncbi.nlm.nih.gov/pubmed/24705354,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:28328,RO:0002434,HGNC:18412,https://www.ncbi.nlm.nih.gov/pubmed/24705354,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:5001,RO:0003304,MONDO:0005148,"https://www.ncbi.nlm.nih.gov/pubmed/21874001,32541925,21490949,22693455,24509480,28869590,32499647",This edge comes from the Monarch Knowledge Graph 2019.,NA,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
HGNC:25730,RO:0002206,UBERON:0007023,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:8554,RO:0002434,HGNC:5232,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:1867,BFO:0000050,GO:0005814,"https://www.ncbi.nlm.nih.gov/pubmed/21873635,23591820,22349705,12176356,24421332",This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:10353,RO:0002206,UBERON:0000465,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
MONDO:0054573,RO:0002200,HP:0001263,http://purl.obolibrary.org/obo/MONDO_0054573,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:9154,RO:0002200,HP:0001337,http://purl.obolibrary.org/obo/MONDO_0100062,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:2711,RO:0002434,HGNC:4812,"https://www.ncbi.nlm.nih.gov/pubmed/9361024,9454836",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:10062,BFO:0000050,GO:0005654,http://reactome.org/content/detail/R-HSA-8942099|http://reactome.org/content/detail/R-HSA-8942101|http://purl.obolibrary.org/obo/go/references/0000052,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:8607,RO:0002434,HGNC:9552,"https://www.ncbi.nlm.nih.gov/pubmed/12676955,20810900,23503661",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2514,BFO:0000050,GO:0005634,"https://www.ncbi.nlm.nih.gov/pubmed/18193033,28829046,19187541,15040835,10980594,19095296,18756595,29367600,16858403,9707618,18787224,29739711",This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:9534,RO:0002325,HGNC:9187,https://www.ncbi.nlm.nih.gov/pubmed/26344197,This edge comes from the Monarch Knowledge Graph 2019.,NA,colocalizes with,NA,http://purl.obolibrary.org/obo/RO_0002325
HGNC:9852,RO:0002434,HGNC:6400,"https://www.ncbi.nlm.nih.gov/pubmed/26496610,9214382",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2365,RO:0002206,UBERON:0014892,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
MGI:1098280,BFO:0000050,GO:0005737,http://www.informatics.jax.org/accession/MGI:4834177|http://purl.obolibrary.org/obo/go/references/0000096,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:7879,RO:0002200,HP:0000369,https://www.ncbi.nlm.nih.gov/pubmed/31201375,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:5241,BFO:0000050,GO:0099524,https://www.ncbi.nlm.nih.gov/pubmed/21873635,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:10548,RO:0002434,HGNC:10899,https://www.ncbi.nlm.nih.gov/pubmed/25959826,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002434,HGNC:28515,https://www.ncbi.nlm.nih.gov/pubmed/23275563,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002200,HP:0000716,"http://purl.obolibrary.org/obo/MONDO_0016621|http://purl.obolibrary.org/obo/MONDO_0007739|https://www.ncbi.nlm.nih.gov/pubmed/8401587,20154343,8755937",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:23393,RO:0002434,HGNC:2514,https://www.ncbi.nlm.nih.gov/pubmed/11983685,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:29079,RO:0002434,HGNC:2457,"https://www.ncbi.nlm.nih.gov/pubmed/25999347,24486797",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:5229,RO:0002434,HGNC:12612,https://www.ncbi.nlm.nih.gov/pubmed/30425250,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:115,RO:0002325,HGNC:9323,https://www.ncbi.nlm.nih.gov/pubmed/22863883,This edge comes from the Monarch Knowledge Graph 2019.,NA,colocalizes with,NA,http://purl.obolibrary.org/obo/RO_0002325
HGNC:6849,RO:0002206,UBERON:0004993,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:20766,RO:0002434,HGNC:12468,https://www.ncbi.nlm.nih.gov/pubmed/22565157,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:9113,RO:0002434,HGNC:9237,https://www.ncbi.nlm.nih.gov/pubmed/26407237,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:620,RO:0002434,HGNC:19425,https://www.ncbi.nlm.nih.gov/pubmed/21832049,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002434,HGNC:5258,https://www.ncbi.nlm.nih.gov/pubmed/12417652,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:562,RO:0002434,HGNC:2092,"https://www.ncbi.nlm.nih.gov/pubmed/9280305,26496610,17052248",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:15864,RO:0002206,UBERON:0001950,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:9069,RO:0002206,UBERON:0004804,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:14339,RO:0002434,HGNC:16889,https://www.ncbi.nlm.nih.gov/pubmed/31091453,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2494,RO:0002434,HGNC:3236,https://www.ncbi.nlm.nih.gov/pubmed/24797263,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MGI:4438240,None,HGNC:4851,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,None,NA,None
HGNC:11998,RO:0002434,HGNC:3942,"https://www.ncbi.nlm.nih.gov/pubmed/27438146,19619545",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3211,RO:0002206,UBERON:0001950,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:12468,RO:0002434,HGNC:30300,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:14888,RO:0002206,UBERON:0000970,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:5961,RO:0002206,UBERON:0000970,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:12468,RO:0002434,HGNC:115,"https://www.ncbi.nlm.nih.gov/pubmed/27182664,23314748,17550899",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
ENSEMBL:ENSSSCG00000008697,RO:0002331,GO:0031648,http://purl.obolibrary.org/obo/go/references/0000107,This edge comes from the Monarch Knowledge Graph 2019.,NA,involved_in,NA,http://purl.obolibrary.org/obo/RO_0002331
HGNC:20194,RO:0002200,HP:0003429,http://purl.obolibrary.org/obo/MONDO_0019505,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:25321,RO:0002434,HGNC:28826,https://www.ncbi.nlm.nih.gov/pubmed/28775156,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:9760,RO:0003304,EFO:0005208,https://www.ncbi.nlm.nih.gov/pubmed/31152163,This edge comes from the Monarch Knowledge Graph 2019.,NA,contributes to condition,NA,http://purl.obolibrary.org/obo/RO_0003304
HGNC:9207,RO:0002434,HGNC:23817,https://www.ncbi.nlm.nih.gov/pubmed/17353931,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:16854,BFO:0000050,GO:0005770,https://www.ncbi.nlm.nih.gov/pubmed/17724123,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:10857,RO:0002434,HGNC:8607,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3236,RO:0002434,HGNC:5258,"https://www.ncbi.nlm.nih.gov/pubmed/12471035,25402006,31980649,23956138,24658140",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002434,HGNC:5241,"https://www.ncbi.nlm.nih.gov/pubmed/20026656,12417652,25959826",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:1504,RO:0002434,HGNC:11205,https://www.ncbi.nlm.nih.gov/pubmed/10103059,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:3263,RO:0002434,HGNC:7879,https://www.ncbi.nlm.nih.gov/pubmed/29395067,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:20738,RO:0002434,HGNC:12520,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2365,BFO:0000050,GO:0005829,http://reactome.org/content/detail/R-HSA-399951|http://reactome.org/content/detail/R-HSA-399944|http://purl.obolibrary.org/obo/go/references/0000052|http://reactome.org/content/detail/R-HSA-399947,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:16889,RO:0002434,HGNC:9534,"https://www.ncbi.nlm.nih.gov/pubmed/26344197,27428775,17323924,26496610,22939629,28821611",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2348,RO:0002434,HGNC:5961,https://www.ncbi.nlm.nih.gov/pubmed/14597638,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MONDO:0007739,RO:0002200,HP:0000746,http://purl.obolibrary.org/obo/MONDO_0007739,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:17142,RO:0002200,HP:0003470,http://purl.obolibrary.org/obo/MONDO_0004976,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:23332,RO:0002434,HGNC:30915,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:10697,RO:0002434,HGNC:9854,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:29163,RO:0002434,HGNC:25530,https://www.ncbi.nlm.nih.gov/pubmed/26638075,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11138,BFO:0000050,GO:0016234,"https://www.ncbi.nlm.nih.gov/pubmed/20039155,17222866",This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:28826,RO:0002434,HGNC:14339,https://www.ncbi.nlm.nih.gov/pubmed/31091453,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MGI:3800927,RO:0002200,HP:0001251,"https://www.ncbi.nlm.nih.gov/pubmed/19464370,24784230,20064390,18550760",This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:28719,RO:0002434,HGNC:5253,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MGI:87986,BFO:0000050,GO:0032991,http://purl.obolibrary.org/obo/go/references/0000096|http://www.informatics.jax.org/accession/MGI:4834177|https://www.ncbi.nlm.nih.gov/pubmed/23223530,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:8607,RO:0002200,HP:0000716,http://purl.obolibrary.org/obo/MONDO_0017279|http://purl.obolibrary.org/obo/MONDO_0008199,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:30292,RO:0002434,HGNC:26407,https://www.ncbi.nlm.nih.gov/pubmed/29395067,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:HOM0000020,ENSEMBL:ENSACAG00000005400,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:30300,RO:0002434,HGNC:9554,https://www.ncbi.nlm.nih.gov/pubmed/30033366,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:8510,RO:0002206,UBERON:0001950,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
ENSEMBL:ENSFCAG00000004607,RO:HOM0000020,ENSEMBL:ENSSSCG00000008697,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,in 1 to 1 orthology relationship with,NA,http://purl.obolibrary.org/obo/RO_HOM0000020
HGNC:24808,RO:0002206,UBERON:0000970,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:5961,RO:0002434,HGNC:6392,https://www.ncbi.nlm.nih.gov/pubmed/18511905,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:17955,RO:0002434,HGNC:4851,https://www.ncbi.nlm.nih.gov/pubmed/25959826,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:7879,BFO:0000050,GO:0005634,http://purl.obolibrary.org/obo/go/references/0000044,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:4851,RO:0002434,HGNC:13919,https://www.ncbi.nlm.nih.gov/pubmed/25959826,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:4851,RO:0002434,HGNC:18381,https://www.ncbi.nlm.nih.gov/pubmed/28514442,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:9770,RO:0002206,UBERON:0014892,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,expressed in,NA,http://purl.obolibrary.org/obo/RO_0002206
HGNC:6838,RO:0002434,HGNC:12468,"https://www.ncbi.nlm.nih.gov/pubmed/28767736,24100292",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:8638,RO:0002434,HGNC:4881,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:9154,RO:0002434,HGNC:4055,https://www.ncbi.nlm.nih.gov/pubmed/15385968,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:10303,RO:0002434,HGNC:6392,https://www.ncbi.nlm.nih.gov/pubmed/31586073,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:129,RO:0002325,HGNC:17780,https://www.ncbi.nlm.nih.gov/pubmed/22863883,This edge comes from the Monarch Knowledge Graph 2019.,NA,colocalizes with,NA,http://purl.obolibrary.org/obo/RO_0002325
HGNC:129,BFO:0000050,GO:0005829,http://reactome.org/content/detail/R-HSA-390598|http://reactome.org/content/detail/R-HSA-390597|http://reactome.org/content/detail/R-HSA-390595|http://reactome.org/content/detail/R-HSA-390593,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:11522,BFO:0000050,GO:0005634,http://purl.obolibrary.org/obo/go/references/0000044,This edge comes from the Monarch Knowledge Graph 2019.,NA,is part of,NA,http://purl.obolibrary.org/obo/BFO_0000050
HGNC:12692,RO:0002434,HGNC:17002,https://www.ncbi.nlm.nih.gov/pubmed/15383276,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:30292,RO:0002434,HGNC:3274,https://www.ncbi.nlm.nih.gov/pubmed/26777405,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:9554,RO:0002434,HGNC:6801,https://www.ncbi.nlm.nih.gov/pubmed/31267705,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:2345,RO:0002434,HGNC:7106,https://www.ncbi.nlm.nih.gov/pubmed/11572863,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:11280,RO:0002200,HP:0002180,http://purl.obolibrary.org/obo/MONDO_0004976,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:9552,RO:0002434,HGNC:11205,"https://www.ncbi.nlm.nih.gov/pubmed/18572193,10816420",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:5046,RO:0002434,HGNC:12468,"https://www.ncbi.nlm.nih.gov/pubmed/16196087,23314748",This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:15476,RO:0002434,HGNC:5258,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:12520,RO:0002434,HGNC:12509,NA,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
HGNC:6400,RO:0002434,HGNC:1918,https://www.ncbi.nlm.nih.gov/pubmed/15383276,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
MGI:96067,RO:0002200,MP:0000438,https://www.ncbi.nlm.nih.gov/pubmed/9398841,This edge comes from the Monarch Knowledge Graph 2019.,NA,has phenotype,NA,http://purl.obolibrary.org/obo/RO_0002200
HGNC:9281,RO:0002434,HGNC:2711,https://www.ncbi.nlm.nih.gov/pubmed/22321011,This edge comes from the Monarch Knowledge Graph 2019.,NA,interacts with,NA,http://purl.obolibrary.org/obo/RO_0002434
